idEvaluacion,idDataSetPrueba,NombreEvaluacion,TiempoMinYOLO,ErrorYOLO,PrecisionYOLO,SensibilidadYOLO,EspecifidadYOLO,TiempoMinDETR,ErrorDETR,PrecisionDETR,SensibilidadDETR,EspecifidadDETR
1,11,PruebaTODO,00:00:50,40,20,20,20,00:02:00,35,15,25,25
2,16,SegundaPrueba,00:00:25,30,60,5,5,00:03:00,25,25,25,25
3,16,PruebaDos,00:00:32,30,50,20,10,00:00:59,25,65,5,5
4,17,FinalDefinitivoBD,00:00:23,36.59,62.5,71.43,55,00:02:14,63.41,41.67,20.83,58.82
5,11,FinalAhoraSi,00:00:33,36.59,62.5,71.43,55,00:02:01,63.41,41.67,20.83,58.82
6,16,PruebaReal,00:00:28,82.93,100,17.07,0,00:02:04,2.44,100,97.56,0
7,11,PruebaDS,00:00:26,63.41,100,36.59,0,00:01:54,12.2,100,87.8,0
8,11,PruebaCONTADORES,00:00:21,26.83,80,76.92,66.67,00:01:58,26.83,72,81.82,63.16
9,11,PruebaTESTER,00:00:26,26.83,80,76.92,66.67,00:02:06,26.83,72,81.82,63.16
10,11,Animacion,00:00:19,46.34,56.52,59.09,47.37,00:01:50,41.46,63.64,60.87,55.56
11,16,UltimaAnimacion,00:00:19,56.1,46.15,57.14,30,00:02:07,46.34,55,52.38,55
12,11,asdasdasdasdasd,00:00:19,43.9,59.26,69.57,38.89,00:02:10,43.9,60,65.22,44.44
