idExperimentador,idUsuarios,idDataSetExp,NombreModelo,Arquitectura,PorcentajeErr,Precision,TiempoHoras,Pesos
1,1,20,15,YOLOV5,22.48,77.26,01:25:50,C:\Users\nayel\Desktop\Estadia - AVAO191844\Sistema\src\Pesos\YOLO\15\train\yolov5s_results\weights\best.pt
2,42,20,16,YOLOV5,22.48,77.26,01:31:02,C:\Users\nayel\Desktop\Estadia - AVAO191844\Sistema\src\Pesos\YOLO\16\train\yolov5s_results\weights\best.pt
3,1,20,17,YOLOV5,19.15,84.24,01:29:22,C:\Users\nayel\Desktop\Estadia - AVAO191844\Sistema\src\Pesos\YOLO\17\train\yolov5s_results\weights\best.pt
4,42,20,18,YOLOV5,20.29,82.79,01:20:04,C:\Users\nayel\Desktop\Estadia - AVAO191844\Sistema\src\Pesos\YOLO\18\train\yolov5s_results\weights\best.pt
5,1,20,19,YOLOV5,18.14,86.72,01:24:51,C:\Users\nayel\Desktop\Estadia - AVAO191844\Sistema\src\Pesos\YOLO\19\train\yolov5s_results\weights\best.pt
6,42,20,20,YOLOV5,20.31,82.72,01:29:16,C:\Users\nayel\Desktop\Estadia - AVAO191844\Sistema\src\Pesos\YOLO\20\train\yolov5s_results\weights\best.pt
7,1,20,21,YOLOV5,21.38,81.28,01:53:04,C:\Users\nayel\Desktop\Estadia - AVAO191844\Sistema\src\Pesos\YOLO\21\train\yolov5s_results\weights\best.pt
8,42,20,22,YOLOV5,20.44,85.93,01:34:45,C:\Users\nayel\Desktop\Estadia - AVAO191844\Sistema\src\Pesos\YOLO\22\train\yolov5s_results\weights\best.pt
9,1,20,23,YOLOV5,19.94,82.12,02:05:42,C:\Users\nayel\Desktop\Estadia - AVAO191844\Sistema\src\Pesos\YOLO\23\train\yolov5s_results\weights\best.pt
10,42,20,24,YOLOV5,19.94,82.12,02:07:23,C:\Users\nayel\Desktop\Estadia - AVAO191844\Sistema\src\Pesos\YOLO\24\train\yolov5s_results\weights\best.pt
11,1,20,25,YOLOV5,20.47,82.19,01:55:34,C:\Users\nayel\Desktop\Estadia - AVAO191844\Sistema\src\Pesos\YOLO\25\train\yolov5s_results\weights\best.pt
12,42,20,26,YOLOV5,18.77,87.45,02:00:14,C:\Users\nayel\Desktop\Estadia - AVAO191844\Sistema\src\Pesos\YOLO\26\train\yolov5s_results\weights\best.pt
13,1,20,27,YOLOV5,19.61,80.2,03:24:15,C:\Users\nayel\Desktop\Estadia - AVAO191844\Sistema\src\Pesos\YOLO\27\train\yolov5s_results\weights\best.pt
14,42,20,28,YOLOV5,19.42,86.56,02:11:15,C:\Users\nayel\Desktop\Estadia - AVAO191844\Sistema\src\Pesos\YOLO\28\train\yolov5s_results\weights\best.pt
15,1,20,29,YOLOV5,19.42,86.56,02:26:12,C:\Users\nayel\Desktop\Estadia - AVAO191844\Sistema\src\Pesos\YOLO\29\train\yolov5s_results\weights\best.pt
16,42,20,30,YOLOV5,19.94,82.12,02:09:35,C:\Users\nayel\Desktop\Estadia - AVAO191844\Sistema\src\Pesos\YOLO\30\train\yolov5s_results\weights\best.pt
17,1,31,01,Transformer,35.3,64.7,01:12:30,C:\Users\nayel\Desktop\Estadia - AVAO191844\Sistema\src\Pesos\Transformers\01\lightning_logs\version_0\checkpoints\epoch=19-step=160.ckpt
18,42,31,12,Transformer,32.1,67.9,02:01:30,C:\Users\nayel\Desktop\Estadia - AVAO191844\Sistema\src\Pesos\Transformers\12\lightning_logs\version_0\checkpoints\epoch=44-step=720.ckpt
